Category,Code,Quote
Organizational Culture,Values,"We have developed core values on behalf of our organization. It's a mostly volunteer organization, 'pay it forward' -- giving back to the community."
Organizational Culture,Values,"Positive representation, relatable representations."
Organizational Culture,Values,"Global contribution”: dwarfism is everywhere. How can we positively represent our community, how can we do it in a way that adds to human diversity"
Tensions,Trust,"Historically, our community waxed and waned in their trust in the organization. We have gone through a lot of pivots within our organization."
Tensions,Political Climate,Political climate; all of these things challenge the community and trust. Board of directors are doing their best to create a trusting environment.
Tensions,Trust,Political climate; all of these things challenge the community and trust. Board of directors are doing their best to create a trusting environment.
Tensions,Trust,"The board of directors are doing their best to create a trusting environment, to support the community. The org being mostly being volunteers challenges continuity / relying on people over a long period of time."
Governance,Organizational Rules,The board of directors will have votes for large decision making. We use Roberts rules of order.
Tensions,Privacy,Photos taken at the national conference have raised questions about formality and documentation of that specific process.
Governance,Organizational Rules,"It's the database of membership that we protect, and also conference proceedings / archival documentation from the conference. All final decisions on behalf of the national conference have to go through the board of directors."
Governance,Organizational Rules,We have an annual election (board of directors do not turn over every year). Every member 18+ can participate.
Governance,Organizational Rules,"Members can also suggest a by-law change – any member. Every single year, there is an opportunity to enact change deep in the by-laws re how the organization runs."
Governance,Organizational Rules,"Otherwise, decisions that are more so about planning an event are left to the board or executive director. Other requests like surveying the members, that’s something limited to a board vote. It doesn’t get shared with the broader membership."
Organizational Culture,Norms,I will say there’s definitely cultural norms. That has caused eras of change throughout our history depending on who was elected to the board at that time. We also have many members that hold extra weight in our organization (e.g. multi-generational).
Tensions ,Personal Connections,"There are unfortunately some things left up to who knows who, who has a favor called in. No explicit rules for who gets on the conference committee."
Organizational Culture,Norms,It is very notable to be on that committee; it garners the most audience.
Governance,Community Moderation,We have member conduct agreement that everyone agrees to when they join the LPA and resign it when they attend the national conference. General member behavior and rules of conduct.
Governance,Disciplinary Actions,"Should you not follow the rule of conduct, the membership coordinator can step in. Complaints are taken seriously."
Governance,Consent,Registrants of the conference agree to record and take photos for marketing material creation.
Governance,Organizational Rules,Members in positions of leadership can have access to membership database information that usually looks like chapter or district officers (regional locations)
Governance,Redactions,"They can request a roster of contact information for that region, that is done with an agreement that information cannot be shared with anyone outside the organization. At some level, the board of directors also have a further confidentiality agreement of what can be discussed with other board members."
Governance,Consent,"There has been opportunities for one of our membership advisers who was working on a research project, but it was a very contained project and she had a specific set of people she wanted to speak to and she had a consent process for that."
Organizational Culture,Norms,Members are generally accepting of that and expect that they will hear.
Tensions,Political Climate,We saw a fair amount of push back against standing in solidarity. Members spoke out; we had to cut ties with vendors.
Tensions,Disagreement and Dialogue,We saw a fair amount of push back against standing in solidarity. Members spoke out; we had to cut ties with vendors.
Organizational Culture,Norms,"I will say this is another example of “depends on who is in the office right now”. Our current president is very strong on advocacy, and very politically active. In this moment she is forging forward. She feels strongly about speaking on behalf of the membership."""
Governance,Community Moderation,"We have had to limit commenting on our social media (moderation), some membership complaints had been filed."
Governance,Disciplinary Actions,"We have had to limit commenting on our social media (moderation), some membership complaints had been filed."
Tensions,Disagreement and Dialogue,"The one that stands out to me is that during Covid-19, the changes the org went through, there was a real divide in opinions about what to do."
Governance,Disciplinary Actions,Membership complaint filed; many members were put on probation (for 5 years).
Governance,Community Moderation,Membership complaint filed; many members were put on probation (for 5 years).
Tensions,Privacy ,"They started up their own registration process and data keeping that wasn’t accessible to our board of directors. The executive director was concerned that this was no longer under the control of the LPA system. There were concerns around where is that data going, where is it being kept, who is in charge."
Governance,New Policies,The conference committee and LPA is trying to standardize the relationship between staff at the LPA and trying to pull the conference committee back into that so there is some kind of ownership that the LPA holds.
Organizational Culture,Norms,"There is a cultural piece that is hard to navigate: we are mostly volunteers. So, we worry that we may push something too far and a volunteer will quit."
Tensions,Sensitive Situations,"Specifically, that person and that company sold a product that many people with dwarfism need. It is a major product that gives members a lot of independence. It was a long-standing relationship, so that hurt even more. "
Governance,Community Moderation,Code of conduct now includes behavior on social media if representing LPA.
Governance,Organizational Roles,"Board includes: membership director, finance director, inclusion director, program director, advocacy director, etc."
Governance,Consent,"Planning to ask for individual consent for photoshoot. We do intend to make individual reach out to members to ask for their photos. If there are individual specific conference photos, we will reach out to those members for explicit consent again."
Tensions,Privacy,"One question I was asked: can we rescind a photo. Can these photos end up in the hands of someone with bad intentions? People are concerned about memes, ai porn. They want to contribute to this project, but they want there to be minimal risk."
Tensions,User Intentions,"One question I was asked: can we rescind a photo. Can these photos end up in the hands of someone with bad intentions? People are concerned about memes, ai porn. They want to contribute to this project, but they want there to be minimal risk."
