Category,Code,Quote
Organizational Culture,Values,They focus on the digital literacy space for learners. They value access to quality education and the rights of children with disabilities.
Organizational Culture,Values,We center education and participation. This is often accompanied by 'co-designing' and meeting goals.
Tensions,Trust,Making sure we communicate not just what we want to do but also the results of what we have achieved.
Governance,Organizational Roles,"Board of trustees, directors, managers, program officers interns, program assistants."
Governance,Organizational Rules,"They have a department which governs data, known as the program department technical and Data Management department fall under."
Governance,Organizational Rules,This goes through trustees before the final board of directors.
Governance,Organizational Rules,All decisions are written down. There is a handbook with clear guidelines.
Governance,Organizational Rules,"Everyone in KBT goes through training on these topics [data rights, laws, etc.]."
Tensions,Sensitive Situations,Loopholes exist when the guidelines do not fully apply to evolving tech.
Governance,Consent,"Consent should be given freely, with participants knowing the potential repercussions and outcomes."
Governance,Consent,"Consent is broken down into different types depending on the context of the project (e.g. participation, photos, recordings, data storage duration)."
Governance,Consent,"They usually get consent via a physical printed document, which they copy and give back, but are moving to digital."
Governance,Redactions,Identifiable information like national IDs and contacts is not shared.
Governance,Redactions,Participants are assigned anonymized numbers even internally.
Tensions,Trust,"Participants expect: 1) benefit, 2) results returned to them, and 3) compliance with Kenyan data laws."
Tensions,Sensitive Situations,Concern over 3rd party handling of data (e.g. Microsoft not meeting obligations).
Governance,Organizational Rules,Their legal department checks contracts with 3rd parties.
Tensions,Sensitive Situations,Parents were confused when 3rd party partners contacted them directly about children. This was resolved internally.
Tensions,Disagreement and Dialogue,"P1 cannot recall any internal disagreements over data, attributes this to clear guidelines."
Tensions,Values Alignment,No tensions with funders; attributed to aligning collaborations to their values from the start.
Governance,Organizational Roles,"Finance, HR, technical, and program departments all have clearly defined rules and roles."
Governance,Organizational Roles,"There is a program manager for specific audiences (e.g. Uganda participants, graduates)."
Governance,Organizational Roles,"Overall, a very formal way of working."
Governance,Organizational Rules,Open-door collaboration policy for contacting specific program managers.
Tensions,Privacy,Concern: How to get consent for group images? Is one person's consent enough?
Tensions,Privacy,Concern: Metadata how can metadata be stripped or secured to prevent misuse?
Governance,New Policies,External consultant will help with licensing policies.
Organizational Culture,Values,"Positive representation, relatable representations."
Organizational Culture,Values,"We have developed core values on behalf of our organization. It's a mostly volunteer organization, 'pay it forward' -- giving back to the community."
Organizational Culture,Norms,"We have developed core values on behalf of our organization. It's a mostly volunteer organization, 'pay it forward' -- giving back to the community."
Tensions,Trust,"Historically, our community waxed and waned in their trust in the organization. We have gone through a lot of pivots within our organization."
Tensions,Political Climate,Political climate; all of these things challenge the community and trust. Board of directors are doing their best to create a trusting environment.
Tensions,Trust,Political climate; all of these things challenge the community and trust. Board of directors are doing their best to create a trusting environment.
Governance,Organizational Rules,The board of directors will have votes for large decision making. We use Roberts rules of order.
Governance,Organizational Rules,We have an annual election (board of directors do not turn over every year). Every member 18+ can participate.
Organizational Culture,Norms,"There are unfortunately some things left up to who knows who, who has a favor called in. No explicit rules for who gets on the conference committee."
Organizational Culture,Organizational rules,"There are unfortunately some things left up to who knows who, who has a favor called in. No explicit rules for who gets on the conference committee."
Governance,Disciplinary Actions,"Should you not follow the rule of conduct, the membership coordinator can step in. Complaints are taken seriously."
Governance,Norms,"Should you not follow the rule of conduct, the membership coordinator can step in. Complaints are taken seriously."
Governance,Organizational Rules,"Should you not follow the rule of conduct, the membership coordinator can step in. Complaints are taken seriously."
Governance,Consent,Registrants of the conference agree to record and take photos for marketing material creation.
Tensions,Disagreement and Dialogue,We saw a fair amount of push back against standing in solidarity. Members spoke out; we had to cut ties with vendors.
Tensions,Disciplinary Actions,We saw a fair amount of push back against standing in solidarity. Members spoke out; we had to cut ties with vendors.
Tensions,Disciplinary Actions,Membership complaint filed; many members were put on probation (for 5 years).
Tensions,Organizational Rules,Membership complaint filed; many members were put on probation (for 5 years).
Governance,New Policies,Code of conduct now includes behavior on social media if representing LPA.
Governance,Organizational Rules,Code of conduct now includes behavior on social media if representing LPA.
Governance,Organizational Roles,"Board includes: membership director, finance director, inclusion director, program director, advocacy director, etc."
Governance,Community Moderation,"We have had to limit commenting on our social media (moderation), some membership complaints had been filed."
Organizational Culture,Values,"Values are: we are governed by the constitution. The constitution centers dignity, mutual respect, accountability, programs that bring us together."
Organizational Culture,Values,"Principles are governed by individual capacity / membership capacity; organization capacity; mutual respect, accountability, dignity."
Tensions,Trust,"Trust comes from individual capacity: how each member relates to each other, and to the organization."
Governance,Organizational Roles,We don't have a board. But we have executive members who act on behalf of others; chosen via election.
Governance,Organizational Rules,Protocol for data sharing requires consent; one person manages data and it's shared between two people.
Governance,Organizational Rules,We are confined by the constitution about who decides what / when. It depends on the kind of information.
Governance,Norms,We are confined by the constitution about who decides what / when. It depends on the kind of information.
Governance,Organizational Rules,"It depends on the information being shared. Leadership reviews external info (e.g., job postings) before sharing."
Governance,Norms,"It depends on the information being shared. Leadership reviews external info (e.g., job postings) before sharing."
Governance,Organizational Rules,Sensitive agenda items are not shared broadly.
Governance,Privacy,Sensitive agenda items are not shared broadly.
Governance,Organizational Rules,Treasurer is involved in decisions about membership dues and potential consequences.
Governance,Disciplinary Actions,Treasurer is involved in decisions about membership dues and potential consequences.
Governance,Consent,Members provide individual consent before sharing data with external orgs.
Governance,Consent,"Consent is often collected in a WhatsApp group, with members responding 'consent' publicly."
Governance,Norms,"Consent is often collected in a WhatsApp group, with members responding 'consent' publicly."
Governance,Organizational Rules,"Consent is often collected in a WhatsApp group, with members responding 'consent' publicly."
Governance,Organizational Rules,"Members have hard copy membership cards, and now also digital soft copies."
Governance,Organizational Rules,One person keeps the data password; it's shared between two people.
Governance,Norms,One person keeps the data password; it's shared between two people.
Governance,Trust,One person keeps the data password; it's shared between two people.
Governance,Organizational Roles,"Chairperson, vice chairperson, secretary, treasurer, all have clearly defined responsibilities."
Governance,Organizational Roles,Communication with members in specific roles happens frequently.
Governance,Consent,Members must sign consent forms for interviews or images to protect them and be professional.
Governance,Privacy,Members must sign consent forms for interviews or images to protect them and be professional.
Governance,Trust,Members must sign consent forms for interviews or images to protect them and be professional.
Tensions,Sensitive Situations,"When outgoing and incoming executive members must exchange info, sensitive data may be lost or mishandled."
Tensions,Privacy,"When outgoing and incoming executive members must exchange info, sensitive data may be lost or mishandled."
Governance,Organizational Rules,"When outgoing and incoming executive members must exchange info, sensitive data may be lost or mishandled."
Tensions,Disagreement and Dialogue,Leadership disagreement happens due to differing backgrounds; resolved through dialogue and repeated meetings.
Tensions,Values,"Funder conflict: national awareness project was underfunded, creating tension in deciding where to prioritize outreach."
Tensions,Sensitive Situation,"Funder conflict: national awareness project was underfunded, creating tension in deciding where to prioritize outreach."
Tensions,Political Climate,The funding constraint challenged their commitment to equity; decisions had to be made based on population size.
Tensions,User Intention,The funding constraint challenged their commitment to equity; decisions had to be made based on population size.
Governance,New Policies,Best practice: funding agreements must clearly state deliverables and guide actions.
Governance,New Policies,"Norm: seeing a gap (e.g. tech skills), they develop a proposal for training."
Governance,Norms,"Norm: seeing a gap (e.g. tech skills), they develop a proposal for training."
