Category,Code,Quote
Organizational Culture,Values,"Values are: we are governed by the constitution. The constitution centers dignity, mutual respect, accountability, programs that bring us together."
Organizational Culture,Values,"Principles are governed by individual capacity / membership capacity; organization capacity; mutual respect, accountability, dignity."
Tensions,Trust,"Trust comes from individual capacity: how each member relates to each other, and to the organization."
Governance,Organizational Roles,We don't have a board. But we have executive members who act on behalf of others; chosen via election.
Governance,Organizational Rules,Protocol for data sharing requires consent; one person manages data and it's shared between two people.
Governance,Organizational Rules,We are confined by the constitution about who decides what / when. It depends on the kind of information.
Governance,Norms,We are confined by the constitution about who decides what / when. It depends on the kind of information.
Governance,Organizational Rules,"It depends on the information being shared. Leadership reviews external info (e.g., job postings) before sharing."
Governance,Norms,"It depends on the information being shared. Leadership reviews external info (e.g., job postings) before sharing."
Governance,Organizational Rules,Sensitive agenda items are not shared broadly.
Governance,Privacy,Sensitive agenda items are not shared broadly.
Governance,Organizational Rules,Treasurer is involved in decisions about membership dues and potential consequences.
Governance,Disciplinary Actions,Treasurer is involved in decisions about membership dues and potential consequences.
Governance,Consent,Members provide individual consent before sharing data with external orgs.
Governance,Consent,"Consent is often collected in a WhatsApp group, with members responding 'consent' publicly."
Governance,Norms,"Consent is often collected in a WhatsApp group, with members responding 'consent' publicly."
Governance,Organizational Rules,"Consent is often collected in a WhatsApp group, with members responding 'consent' publicly."
Governance,Organizational Rules,"Members have hard copy membership cards, and now also digital soft copies."
Governance,Organizational Rules,One person keeps the data password; it's shared between two people.
Governance,Norms,One person keeps the data password; it's shared between two people.
Governance,Trust,One person keeps the data password; it's shared between two people.
Governance,Organizational Roles,"Chairperson, vice chairperson, secretary, treasurer, all have clearly defined responsibilities."
Governance,Organizational Roles,Communication with members in specific roles happens frequently.
Governance,Consent,Members must sign consent forms for interviews or images to protect them and be professional.
Governance,Privacy,Members must sign consent forms for interviews or images to protect them and be professional.
Governance,Trust,Members must sign consent forms for interviews or images to protect them and be professional.
Tensions,Sensitive Situations,"When outgoing and incoming executive members must exchange info, sensitive data may be lost or mishandled."
Tensions,Privacy,"When outgoing and incoming executive members must exchange info, sensitive data may be lost or mishandled."
Governance,Organizational Rules,"When outgoing and incoming executive members must exchange info, sensitive data may be lost or mishandled."
Tensions,Disagreement and Dialogue,Leadership disagreement happens due to differing backgrounds; resolved through dialogue and repeated meetings.
Tensions,Values,"Funder conflict: national awareness project was underfunded, creating tension in deciding where to prioritize outreach."
Tensions,Sensitive Situation,"Funder conflict: national awareness project was underfunded, creating tension in deciding where to prioritize outreach."
Tensions,Political Climate,The funding constraint challenged their commitment to equity; decisions had to be made based on population size.
Tensions,User Intention,The funding constraint challenged their commitment to equity; decisions had to be made based on population size.
Governance,New Policies,Best practice: funding agreements must clearly state deliverables and guide actions.
Governance,New Policies,"Norm: seeing a gap (e.g. tech skills), they develop a proposal for training."
Governance,Norms,"Norm: seeing a gap (e.g. tech skills), they develop a proposal for training."
